number of frames:  192
true positives:  33
false positives:  0
false negatives:  159
table:
from,to,tp,fp,fn
3.0,2.8,0,0,14
2.8,2.6,0,0,14
2.6,2.4,0,0,14
2.4,2.2,0,0,14
2.2,2.0,0,0,15
2.0,1.8,0,0,14
1.8,1.6,0,0,14
1.6,1.4,7,0,7
1.4,1.2,8,0,6
1.2,1.0,9,0,6
1.0,0.8,7,0,7
0.8,0.6,1,0,13
0.6,0.4,1,0,21
